Raw Symbols
Total Count  : 65687
Total Size   : 5941252
Unattributed : 1219166
--------------------------------------
Sorted by Size
        Size Section/Type  Name                                                                                                                      Source
        7910         code  private: class onnxruntime::common::Status __cdecl onnxruntime::contrib::DeepCpuAttnLstmOp::ComputeImpl<float>(class onnxruntime::OpKernelContext &)const   c:\users\tiago\src\onnxruntime\onnxruntime\contrib_ops\cpu\attnlstm\deep_cpu_attn_lstm.cc
        7818         code  class std::vector<class onnx::NodeProto,class std::allocator<class onnx::NodeProto> > const __cdecl onnx::build_nodes_range_op(void)  c:\users\tiago\src\onnxruntime\cmake\external\onnx\onnx\defs\generator\defs.cc
        7686         code  bool __cdecl onnx::BuildContextDependentFunctionBodySCE(struct onnx::FunctionBodyBuildContext const &,class onnx::OpSchema const &,class onnx::FunctionProto &)  c:\users\tiago\src\onnxruntime\cmake\external\onnx\onnx\defs\math\defs.cc
        7521         code  class onnx::OpSchema __cdecl onnx::GetOpSchema<class onnx::MeanVarianceNormalization_Onnx_ver9>(void)                     c:\users\tiago\src\onnxruntime\cmake\external\onnx\onnx\defs\nn\defs.cc
        7404         code  private: class onnxruntime::common::Status __cdecl onnxruntime::PlannerImpl::ComputeReusePlan(void)                       c:\users\tiago\src\onnxruntime\onnxruntime\core\framework\allocation_planner.cc
        7397         code  public: virtual class onnxruntime::common::Status __cdecl onnxruntime::LayerNormFusion::ApplyImpl(class onnxruntime::Graph &,bool &,int,class onnxruntime::logging::Logger const &)const   c:\users\tiago\src\onnxruntime\onnxruntime\core\optimizer\layer_norm_fusion.cc
        7284         code  public: void __cdecl Dml::FusedGraphKernel::TranslateAndCompileGraph(class onnxruntime::OpKernelInfo const &,class onnxruntime::Graph const &,class onnxruntime::ConstPointerContainer<class std::vector<class onnxruntime::NodeArg *,class std::allocator<class onnxruntime::NodeArg *> > > const &,class onnxruntime::ConstPointerContainer<class std::vector<class onnxruntime::NodeArg *,class std::allocator<class onnxruntime::NodeArg *> > > const &,class std::unordered_map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct Dml::GraphNodeProperties,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct Dml::GraphNodeProperties> > > const &,class std::unordered_map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class onnx::TensorProto,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class onnx::TensorProto> > > &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\dml\dmlexecutionprovider\src\fusedgraphkernel.cpp
        6968         code  public: static void __cdecl Eigen::internal::general_matrix_vector_product<__int64,struct Eigen::half,class Eigen::internal::const_blas_data_mapper<struct Eigen::half,__int64,1>,1,0,struct Eigen::half,class Eigen::internal::const_blas_data_mapper<struct Eigen::half,__int64,0>,0,0>::run(__int64,__int64,class Eigen::internal::const_blas_data_mapper<struct Eigen::half,__int64,1> const &,class Eigen::internal::const_blas_data_mapper<struct Eigen::half,__int64,0> const &,struct Eigen::half *,__int64,struct Eigen::half)  c:\users\tiago\src\onnxruntime\cmake\external\eigen\eigen\src\core\products\generalmatrixvector.h
        6898         code  class onnxruntime::common::Status __cdecl onnxruntime::UpsampleNearest<float>(float const *,float *,class onnxruntime::TensorShape const &,class onnxruntime::TensorShape const &,class std::vector<float,class std::allocator<float> > const &,class std::vector<float,class std::allocator<float> > const &,bool,bool,float,bool,class std::function<float __cdecl(float,float,float,float,float,float)>,class std::function<__int64 __cdecl(float,bool)>)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\tensor\upsample.cc
        6883         code  class onnxruntime::common::Status __cdecl onnxruntime::UpsampleNearest<unsigned char>(unsigned char const *,unsigned char *,class onnxruntime::TensorShape const &,class onnxruntime::TensorShape const &,class std::vector<float,class std::allocator<float> > const &,class std::vector<float,class std::allocator<float> > const &,bool,bool,float,bool,class std::function<float __cdecl(float,float,float,float,float,float)>,class std::function<__int64 __cdecl(float,bool)>)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\tensor\upsample.cc
        6882         code  class onnxruntime::common::Status __cdecl onnxruntime::UpsampleNearest<int>(int const *,int *,class onnxruntime::TensorShape const &,class onnxruntime::TensorShape const &,class std::vector<float,class std::allocator<float> > const &,class std::vector<float,class std::allocator<float> > const &,bool,bool,float,bool,class std::function<float __cdecl(float,float,float,float,float,float)>,class std::function<__int64 __cdecl(float,bool)>)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\tensor\upsample.cc
        6842         code  public: virtual class onnxruntime::common::Status __cdecl onnxruntime::contrib::QAttention<float,unsigned char,signed char>::Compute(class onnxruntime::OpKernelContext *)const   c:\users\tiago\src\onnxruntime\onnxruntime\contrib_ops\cpu\quantization\attention_quant.cc
        6836         code  public: virtual class onnxruntime::common::Status __cdecl onnxruntime::contrib::QAttention<float,unsigned char,unsigned char>::Compute(class onnxruntime::OpKernelContext *)const   c:\users\tiago\src\onnxruntime\onnxruntime\contrib_ops\cpu\quantization\attention_quant.cc
        6320         code  private: class onnxruntime::common::Status __cdecl onnxruntime::ParallelExecutor::RunNodeAsync(unsigned __int64,class onnxruntime::SessionState const &,class onnxruntime::logging::Logger const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\framework\parallel_executor.cc
        6135         code  public: static void __cdecl Eigen::internal::general_matrix_vector_product<__int64,struct Eigen::half,class Eigen::internal::const_blas_data_mapper<struct Eigen::half,__int64,0>,0,0,struct Eigen::half,class Eigen::internal::const_blas_data_mapper<struct Eigen::half,__int64,1>,0,0>::run(__int64,__int64,class Eigen::internal::const_blas_data_mapper<struct Eigen::half,__int64,0> const &,class Eigen::internal::const_blas_data_mapper<struct Eigen::half,__int64,1> const &,struct Eigen::half *,__int64,struct Eigen::half)  c:\users\tiago\src\onnxruntime\cmake\external\eigen\eigen\src\core\products\generalmatrixvector.h
        6040         code  public: class onnxruntime::common::Status __cdecl onnxruntime::InferenceSession::Initialize(void)                         c:\users\tiago\src\onnxruntime\onnxruntime\core\session\inference_session.cc
        6012         code  public: virtual class onnxruntime::common::Status __cdecl onnxruntime::Conv<float>::Compute(class onnxruntime::OpKernelContext *)const   c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\nn\conv.cc
        5852         code  private: bool __cdecl nlohmann::detail::parser<class nlohmann::basic_json<class std::map,class std::vector,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,bool,__int64,unsigned __int64,double,class std::allocator,struct nlohmann::adl_serializer> >::sax_parse_internal<class nlohmann::detail::json_sax_dom_parser<class nlohmann::basic_json<class std::map,class std::vector,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,bool,__int64,unsigned __int64,double,class std::allocator,struct nlohmann::adl_serializer> > >(class nlohmann::detail::json_sax_dom_parser<class nlohmann::basic_json<class std::map,class std::vector,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,bool,__int64,unsigned __int64,double,class std::allocator,struct nlohmann::adl_serializer> > *)  c:\users\tiago\src\onnxruntime\cmake\external\json\single_include\nlohmann\json.hpp
        5783         code  public: void __cdecl Eigen::internal::gebp_kernel<struct Eigen::half,struct Eigen::half,__int64,class Eigen::internal::blas_data_mapper<struct Eigen::half,__int64,0,0,1>,2,4,0,0>::operator()(class Eigen::internal::blas_data_mapper<struct Eigen::half,__int64,0,0,1> const &,struct Eigen::half const *,struct Eigen::half const *,__int64,__int64,__int64,struct Eigen::half,__int64,__int64,__int64,__int64)  c:\users\tiago\src\onnxruntime\cmake\external\eigen\eigen\src\core\products\generalblockpanelkernel.h
        5768         code  public: virtual class onnxruntime::common::Status __cdecl onnxruntime::ConvInteger::Compute(class onnxruntime::OpKernelContext *)const   c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\nn\conv_integer.cc
        5735         code  private: class onnxruntime::common::Status __cdecl onnxruntime::PlannerImpl::ComputeUseCounts(void)                       c:\users\tiago\src\onnxruntime\onnxruntime\core\framework\allocation_planner.cc
        5627         code  private: class onnxruntime::common::Status __cdecl onnxruntime::Graph::VerifyNodeAndOpMatch(struct onnxruntime::Graph::ResolveOptions const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\graph\graph.cc
        5615         code  public: virtual class onnxruntime::common::Status __cdecl onnxruntime::QLinearConv::Compute(class onnxruntime::OpKernelContext *)const   c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\nn\qlinearconv.cc
        5615         code  static class std::unique_ptr<onnxruntime::Tensor,std::default_delete<onnxruntime::Tensor> > onnxruntime::EinsumOp::PairwiseOperandProcess<double>(const class onnxruntime::Tensor & const, const class onnxruntime::TensorShape & const, const class onnxruntime::Tensor & const, const class onnxruntime::TensorShape & const, const class std::vector<__int64,std::allocator<__int64> > & const, class onnxruntime::concurrency::ThreadPool *, const class std::shared_ptr<onnxruntime::IAllocator> & const, const class onnxruntime::EinsumComputePreprocessor & const, bool, class onnxruntime::Tensor & const)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\math\einsum_utils.cc
        5615         code  static class std::unique_ptr<onnxruntime::Tensor,std::default_delete<onnxruntime::Tensor> > onnxruntime::EinsumOp::PairwiseOperandProcess<float>(const class onnxruntime::Tensor & const, const class onnxruntime::TensorShape & const, const class onnxruntime::Tensor & const, const class onnxruntime::TensorShape & const, const class std::vector<__int64,std::allocator<__int64> > & const, class onnxruntime::concurrency::ThreadPool *, const class std::shared_ptr<onnxruntime::IAllocator> & const, const class onnxruntime::EinsumComputePreprocessor & const, bool, class onnxruntime::Tensor & const)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\math\einsum_utils.cc
        5606         code  static class std::unique_ptr<onnxruntime::Tensor,std::default_delete<onnxruntime::Tensor> > onnxruntime::EinsumOp::PairwiseOperandProcess<__int64>(const class onnxruntime::Tensor & const, const class onnxruntime::TensorShape & const, const class onnxruntime::Tensor & const, const class onnxruntime::TensorShape & const, const class std::vector<__int64,std::allocator<__int64> > & const, class onnxruntime::concurrency::ThreadPool *, const class std::shared_ptr<onnxruntime::IAllocator> & const, const class onnxruntime::EinsumComputePreprocessor & const, bool, class onnxruntime::Tensor & const)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\math\einsum_utils.cc
        5606         code  static class std::unique_ptr<onnxruntime::Tensor,std::default_delete<onnxruntime::Tensor> > onnxruntime::EinsumOp::PairwiseOperandProcess<int>(const class onnxruntime::Tensor & const, const class onnxruntime::TensorShape & const, const class onnxruntime::Tensor & const, const class onnxruntime::TensorShape & const, const class std::vector<__int64,std::allocator<__int64> > & const, class onnxruntime::concurrency::ThreadPool *, const class std::shared_ptr<onnxruntime::IAllocator> & const, const class onnxruntime::EinsumComputePreprocessor & const, bool, class onnxruntime::Tensor & const)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\math\einsum_utils.cc
        5514         code  struct Dml::GraphDescBuilder::GraphDesc __cdecl Dml::GraphDescBuilder::BuildGraphDesc(class onnxruntime::OpKernelInfo const &,class gsl::span<unsigned char const >,class std::unordered_map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class onnx::TensorProto,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class onnx::TensorProto> > > &,class onnxruntime::Graph const &,class onnxruntime::ConstPointerContainer<class std::vector<class onnxruntime::NodeArg *,class std::allocator<class onnxruntime::NodeArg *> > > const &,class onnxruntime::ConstPointerContainer<class std::vector<class onnxruntime::NodeArg *,class std::allocator<class onnxruntime::NodeArg *> > > const &,class std::unordered_map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct Dml::GraphNodeProperties,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct Dml::GraphNodeProperties> > > const &,struct IDMLDevice *,void const *)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\dml\dmlexecutionprovider\src\graphdescbuilder.cpp
        5504         code  private: bool __cdecl nlohmann::detail::parser<class nlohmann::basic_json<class std::map,class std::vector,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,bool,__int64,unsigned __int64,double,class std::allocator,struct nlohmann::adl_serializer> >::sax_parse_internal<class nlohmann::detail::json_sax_dom_callback_parser<class nlohmann::basic_json<class std::map,class std::vector,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,bool,__int64,unsigned __int64,double,class std::allocator,struct nlohmann::adl_serializer> > >(class nlohmann::detail::json_sax_dom_callback_parser<class nlohmann::basic_json<class std::map,class std::vector,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,bool,__int64,unsigned __int64,double,class std::allocator,struct nlohmann::adl_serializer> > *)  c:\users\tiago\src\onnxruntime\cmake\external\json\single_include\nlohmann\json.hpp
        5416         code  public: void __cdecl Eigen::internal::lhs_process_one_packet<4,1,1,struct Eigen::half,struct Eigen::half,struct Eigen::half,struct Eigen::half,struct Eigen::half,struct Eigen::half,struct Eigen::half,class Eigen::internal::gebp_traits<struct Eigen::half,struct Eigen::half,0,0,1,0>,class Eigen::internal::BlasLinearMapper<struct Eigen::half,__int64,0,1>,class Eigen::internal::blas_data_mapper<struct Eigen::half,__int64,0,0,1> >::operator()(class Eigen::internal::blas_data_mapper<struct Eigen::half,__int64,0,0,1> const &,struct Eigen::half const *,struct Eigen::half const *,struct Eigen::half,__int64,__int64,__int64,__int64,__int64,__int64,int,__int64,__int64,__int64,__int64,__int64)  c:\users\tiago\src\onnxruntime\cmake\external\eigen\eigen\src\core\products\generalblockpanelkernel.h
        5313         code  public: __cdecl onnxruntime::TfIdfVectorizer::TfIdfVectorizer(class onnxruntime::OpKernelInfo const &)                    c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\nn\tfidfvectorizer.cc
        5284         code  public: virtual class onnxruntime::common::Status __cdecl onnxruntime::DynamicQuantizeMatMulFusion::ApplyImpl(class onnxruntime::Graph &,bool &,int,class onnxruntime::logging::Logger const &)const   c:\users\tiago\src\onnxruntime\onnxruntime\core\optimizer\dynamic_quantize_matmul_fusion.cc
        5238         code  public: static void __cdecl onnx::OpSet_Onnx_ver1::ForEachSchema(class std::function<void __cdecl(class onnx::OpSchema &&)>)  c:\users\tiago\src\onnxruntime\cmake\external\onnx\onnx\defs\operator_sets.h
        5219         code  static class onnxruntime::common::Status onnxruntime::PadImpl<unsigned __int64>(class onnxruntime::OpKernelContext *, const class std::vector<__int64,std::allocator<__int64> > & const, const class std::vector<__int64,std::allocator<__int64> > & const, const onnxruntime::Mode & const, unsigned __int64)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\tensor\pad.cc
        5216         code  static class onnxruntime::common::Status onnxruntime::PadImpl<unsigned int>(class onnxruntime::OpKernelContext *, const class std::vector<__int64,std::allocator<__int64> > & const, const class std::vector<__int64,std::allocator<__int64> > & const, const onnxruntime::Mode & const, unsigned int)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\tensor\pad.cc
        5165         code  private: class onnxruntime::common::Status __cdecl onnxruntime::DeepCpuLstmOp::ComputeImpl<float>(class onnxruntime::OpKernelContext &)const   c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\rnn\deep_cpu_lstm.cc
        5114         code  public: virtual class onnxruntime::common::Status __cdecl onnxruntime::SkipLayerNormFusion::ApplyImpl(class onnxruntime::Graph &,bool &,int,class onnxruntime::logging::Logger const &)const   c:\users\tiago\src\onnxruntime\onnxruntime\core\optimizer\skip_layer_norm_fusion.cc
        5103         code  static class onnxruntime::common::Status onnxruntime::PadImpl<unsigned char>(class onnxruntime::OpKernelContext *, const class std::vector<__int64,std::allocator<__int64> > & const, const class std::vector<__int64,std::allocator<__int64> > & const, const onnxruntime::Mode & const, unsigned char)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\tensor\pad.cc
        4937         code  private: virtual class onnxruntime::common::Status __cdecl onnxruntime::ConstantFolding::ApplyImpl(class onnxruntime::Graph &,bool &,int,class onnxruntime::logging::Logger const &)const   c:\users\tiago\src\onnxruntime\onnxruntime\core\optimizer\constant_folding.cc
        4902         code  public: class onnxruntime::common::Status __cdecl onnxruntime::GraphPartitioner::Partition(class onnxruntime::Graph &,bool,class onnxruntime::FuncManager &)const   c:\users\tiago\src\onnxruntime\onnxruntime\core\framework\graph_partitioner.cc
        4855         code  bool __cdecl onnx::BuildContextDependentFunctionBodyCelu(struct onnx::FunctionBodyBuildContext const &,class onnx::OpSchema const &,class onnx::FunctionProto &)  c:\users\tiago\src\onnxruntime\cmake\external\onnx\onnx\defs\math\defs.cc
        4836         code  public: __cdecl onnxruntime::ml::TreeEnsembleClassifier<__int64>::TreeEnsembleClassifier<__int64>(class onnxruntime::OpKernelInfo const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\ml\tree_ensemble_classifier.cc
        4836         code  public: __cdecl onnxruntime::ml::TreeEnsembleClassifier<double>::TreeEnsembleClassifier<double>(class onnxruntime::OpKernelInfo const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\ml\tree_ensemble_classifier.cc
        4836         code  public: __cdecl onnxruntime::ml::TreeEnsembleClassifier<float>::TreeEnsembleClassifier<float>(class onnxruntime::OpKernelInfo const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\ml\tree_ensemble_classifier.cc
        4836         code  public: __cdecl onnxruntime::ml::TreeEnsembleClassifier<int>::TreeEnsembleClassifier<int>(class onnxruntime::OpKernelInfo const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\ml\tree_ensemble_classifier.cc
        4771         code  protected: class onnxruntime::common::Status __cdecl onnxruntime::ConcatBase::PrepareForCompute(class onnxruntime::OpKernelContext *,class std::vector<class onnxruntime::Tensor const *,class std::allocator<class onnxruntime::Tensor const *> > const &,struct onnxruntime::Prepare &)const   c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\tensor\concat.cc
        4691         code  private: __cdecl onnxruntime::Graph::Graph(class onnxruntime::Model const &,class onnx::GraphProto *,class std::unordered_map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,int,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,int> > > const &,__int64,class std::shared_ptr<class onnxruntime::IOnnxRuntimeOpSchemaCollection>,class onnxruntime::Graph *,class onnxruntime::Node const *,class onnxruntime::logging::Logger const &,class std::unordered_map<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class onnx::FunctionProto const *,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class onnx::FunctionProto const *> > > const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\graph\graph.cc
        4636         code  private: class onnxruntime::common::Status __cdecl onnxruntime::InferenceSession::TransformGraph(class onnxruntime::Graph &,class onnxruntime::GraphTransformerManager const &,class onnxruntime::ExecutionProviders const &,class onnxruntime::KernelRegistryManager &,class onnxruntime::InsertCastTransformer const &,class onnxruntime::SessionState &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\session\inference_session.cc
        4636         code  public: __cdecl onnxruntime::FunctionImpl::FunctionImpl(class onnxruntime::Graph const &,class std::unique_ptr<struct onnxruntime::IndexedSubGraph,struct std::default_delete<struct onnxruntime::IndexedSubGraph> >,class onnxruntime::logging::Logger const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\graph\function.cc
        4618         code  static bool onnxruntime::MatchPositionSubgraph(class onnxruntime::Graph & const, const class onnxruntime::Node & const, const class onnxruntime::NodeArg *, const class onnxruntime::logging::Logger & const, class std::vector<unsigned __int64,std::allocator<unsigned __int64> > & const, const unsigned __int64)  c:\users\tiago\src\onnxruntime\onnxruntime\core\optimizer\embed_layer_norm_fusion.cc
        4585         code  void __cdecl onnxruntime::contrib::RegisterBertSchemas(void)                                                              c:\users\tiago\src\onnxruntime\onnxruntime\core\graph\contrib_ops\contrib_defs.cc
        4552         code  struct AbstractOperatorDesc __cdecl SchemaHelpers::ConvertOperatorDesc(struct DML_OPERATOR_DESC const &)                  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\dml\dmlexecutionprovider\src\external\directmlhelpers\generatedschemahelpers.h
        4530         code  public: virtual long __cdecl Windows::AI::MachineLearning::Adapter::AbiCustomRegistry::RegisterOperatorKernel(struct MLOperatorKernelDescription const *,struct IMLOperatorKernelFactory *,struct IMLOperatorShapeInferrer *,struct IMLOperatorSupportQueryPrivate *,bool,bool,bool,unsigned int const *,bool,unsigned int const *,unsigned int)const   c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\dml\dmlexecutionprovider\src\abicustomregistry.cpp
        4447         code  public: __cdecl onnxruntime::ml::TreeEnsembleRegressor<double>::TreeEnsembleRegressor<double>(class onnxruntime::OpKernelInfo const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\ml\treeregressor.cc
        4447         code  public: __cdecl onnxruntime::ml::TreeEnsembleRegressor<float>::TreeEnsembleRegressor<float>(class onnxruntime::OpKernelInfo const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\ml\treeregressor.cc
        4431         code  private: void __cdecl Dml::GraphTransformer::PerformOperatorFusion(class onnxruntime::Graph *,bool *)const                c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\dml\dmlexecutionprovider\src\graphtransformer.cpp
        4404         code  public: __cdecl onnxruntime::ml::detail::TreeEnsembleCommon<__int64,float>::TreeEnsembleCommon<__int64,float>(int,int,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,class std::vector<float,class std::allocator<float> > const &,__int64,class std::vector<__int64,class std::allocator<__int64> > const &,class std::vector<__int64,class std::allocator<__int64> > const &,class std::vector<float,class std::allocator<float> > const &,class std::vector<__int64,class std::allocator<__int64> > const &,class std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > const &,class std::vector<__int64,class std::allocator<__int64> > const &,class std::vector<__int64,class std::allocator<__int64> > const &,class std::vector<__int64,class std::allocator<__int64> > const &,class std::vector<float,class std::allocator<float> > const &,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const &,class std::vector<__int64,class std::allocator<__int64> > const &,class std::vector<__int64,class std::allocator<__int64> > const &,class std::vector<__int64,class std::allocator<__int64> > const &,class std::vector<float,class std::allocator<float> > const &)  c:\users\tiago\src\onnxruntime\onnxruntime\core\providers\cpu\ml\tree_ensemble_common.h
